Car,City/University,Cost,BPP,Design,ACC,SkidPad,AutoX,Endu,Effic,Penalties,Overall Scores,Overall Placing,Competition
26,Stuttgart U,"98,00","75,00","115,00","68,51","55,62","91,33","325,00","89,64","0,00","918,11",1,FSG17
33,Zürich ETH,"85,00","63,18","150,00","71,12","60,64","73,36","227,56","94,51","0,00","825,39",2,FSG17
13,München UAS,"79,00","52,61","115,00","73,37","59,17","69,72","252,87","89,58","0,00","791,32",3,FSG17
23,Amberg OTH,"72,00","51,29","100,00","65,25","42,78","86,77","274,43","89,01","0,00","781,53",4,FSG17
77,Stuttgart DHBW,"96,00","70,00","90,00","75,00","38,55","25,07","226,36","96,65","10,00","707,63",5,FSG17
17,Karlsruhe KIT,"100,00","68,68","142,00","33,39","75,00","4,50","168,04","89,13","15,00","665,75",6,FSG17
54,Barcelona UPC,"100,00","54,59","100,00","47,58","49,19","35,00","160,76","85,48","0,00","632,60",7,FSG17
9,Göteborg Chalmers,"90,00","62,96","110,00","44,18","48,22","61,63","50,62","88,21","0,00","555,83",8,FSG17
67,Osnabrück UAS,"96,00","30,82","90,00","24,73","36,23","21,41","177,97","90,53","15,00","552,69",9,FSG17
78,Hamburg TU,"63,00","55,69","70,00","14,25","30,34","58,51","119,03","88,66","20,00","479,48",10,FSG17
64,Kaiserslautern TU,"81,00","42,26","90,00","13,72","19,26","11,32","69,49","100,00","5,00","422,05",11,FSG17
45,Sankt Augustin UAS,"94,00","60,53","90,00","58,97","50,33","63,29","0,00","0,00","0,00","417,12",12,FSG17
85,Delft TU,"88,00","73,00","148,00","65,42","0,00","90,00","0,00","0,00","50,00","414,42",13,FSG17
18,Dresden TU,"91,00","74,00","85,00","43,40","45,81","53,88","0,00","0,00","0,00","393,10",14,FSG17
31,München TU,"69,00","69,34","138,00","0,00","71,37","0,00","0,00","0,00","5,00","342,71",15,FSG17
63,Trondheim NTNU,"83,00","67,36","110,00","0,00","55,38","23,48","0,00","0,00","10,00","329,22",16,FSG17
50,Lisboa IST,"85,00","68,24","125,00","3,50","0,00","4,50","0,00","0,00","10,00","276,24",17,FSG17
41,Wien TU,"94,00","60,75","115,00","0,00","0,00","0,00","0,00","0,00","0,00","269,75",18,FSG17
42,Darmstadt TU,"92,00","47,00","115,00","0,00","0,00","0,00","0,00","0,00","0,00","254,00",19,FSG17
76,Freiberg TU,"87,00","49,53","65,00","40,98","0,00","48,30","0,00","0,00","50,00","240,81",20,FSG17
181,Göttingen HAWK,"88,00","58,99","70,00","3,50","31,70","4,50","0,00","0,00","35,00","221,69",21,FSG17
19,Braunschweig TU,"50,00","27,96","65,00","9,97","0,00","51,96","0,00","0,00","5,00","199,88",22,FSG17
21,Bayreuth U,"82,00","61,42","75,00","0,00","0,00","0,00","0,00","0,00","24,00","194,42",23,FSG17
16,Hannover U,"62,00","52,17","80,00","0,00","0,00","0,00","0,00","0,00","5,00","189,17",24,FSG17
96,Zwickau UAS,"64,00","37,27","105,00","0,00","0,00","0,00","0,00","0,00","25,00","181,27",25,FSG17
34,Ingolstadt UAS,"65,00","49,75","60,00","0,00","0,00","0,00","0,00","0,00","15,00","159,75",26,FSG17
11,Thessaloniki U,"65,00","55,80","45,00","0,00","0,00","4,50","0,00","0,00","15,00","155,30",27,FSG17
186,Patras U,"34,00","49,53","80,00","0,00","0,00","0,00","0,00","0,00","15,00","148,53",28,FSG17
66,Augsburg UAS,"54,00","34,56","45,00","0,00","0,00","17,38","0,00","0,00","5,00","145,94",29,FSG17
192,Diepholz UAS,"74,00","44,25","55,00","0,00","0,00","0,00","0,00","0,00","35,00","138,25",30,FSG17
12,New Delhi IIT,"79,00","36,10","40,00","0,00","0,00","0,00","0,00","0,00","20,00","135,10",31,FSG17
46,Köln TH,"75,00","29,94","75,00","0,00","0,00","0,00","0,00","0,00","94,00","85,94",32,FSG17
72,Bremen U,"56,00","24,65","40,00","0,00","0,00","0,00","0,00","0,00","84,00","36,65",33,FSG17
97,Landshut UAS,"15,00","22,89","0,00","0,00","0,00","0,00","0,00","0,00","35,00","2,89",34,FSG17
119,Mülheim a.d.R. HRW,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00",35,FSG17
